ARTIFICIAL INTELLIGENCE AND DATA SPECIALIST – Padova - 2023/25,,,,,,
Codice corso: 7346-0008-1032-2023,,,,,,
,,,,,,
Data,Dalle,Alle,Tot. Ore,Formatore (ROL),Descrizione UF,Dettagli
venerdì 22 dicembre 2023,11:15,13:15,02:00,BATTILANA MATTEO,UF 2 - BASI DI DATI,2.2 Data Analysis
venerdì 22 dicembre 2023,14:15,16:15,02:00,BATTILANA MATTEO,UF 2 - BASI DI DATI,2.2 Data Analysis
lunedì 8 gennaio 2024,09:00,11:00,02:00,PIRON LUCA,UF 5 - INGLESE,
lunedì 8 gennaio 2024,11:15,13:15,02:00,GIUNTA ANTONIO,UF 2 - BASI DI DATI,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
lunedì 8 gennaio 2024,14:15,16:15,02:00,GIUNTA ANTONIO,UF 2 - BASI DI DATI,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
martedì 9 gennaio 2024,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 3 - STATICAL LEARNING,3.1 Introduzione alla statistica
mercoledì 10 gennaio 2024,09:00,11:00,02:00,BATTILANA MATTEO,UF 2 - BASI DI DATI,2.2 Data Analysis
mercoledì 10 gennaio 2024,11:15,13:15,02:00,BATTILANA MATTEO,UF 2 - BASI DI DATI,2.2 Data Analysis
mercoledì 10 gennaio 2024,14:15,16:15,02:00,ZIGLIOTTO WALTER,UF 3 - STATICAL LEARNING,3.1 Introduzione alla statistica
giovedì 11 gennaio 2024,09:00,11:00,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
giovedì 11 gennaio 2024,11:15,13:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
giovedì 11 gennaio 2024,14:15,16:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
venerdì 12 gennaio 2024,09:00,11:00,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
venerdì 12 gennaio 2024,11:15,13:15,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
venerdì 12 gennaio 2024,14:15,16:15,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
lunedì 15 gennaio 2024,09:00,11:00,02:00,PIRON LUCA,UF 5 - INGLESE,
lunedì 15 gennaio 2024,11:15,13:15,02:00,GIUNTA ANTONIO,UF 2 - BASI DI DATI,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
lunedì 15 gennaio 2024,14:15,16:15,02:00,GIUNTA ANTONIO,UF 2 - BASI DI DATI,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
martedì 16 gennaio 2024,11:15,13:15,02:00,ZIGLIOTTO WALTER,UF 3 - STATICAL LEARNING,3.1 Introduzione alla statistica
martedì 16 gennaio 2024,14:15,16:15,02:00,RUMOR MASSIMO / SANDRO SAVINO,UF 8 - ANALISI ESPLORATIVA DEI DATI,8.5 - GIS
martedì 16 gennaio 2024,16:15,18:15,02:00,RUMOR MASSIMO / SANDRO SAVINO,UF 8 - ANALISI ESPLORATIVA DEI DATI,8.5 - GIS
mercoledì 17 gennaio 2024,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 3 - STATICAL LEARNING,3.1 Introduzione alla statistica
giovedì 18 gennaio 2024,09:00,11:00,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
giovedì 18 gennaio 2024,11:15,13:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
giovedì 18 gennaio 2024,14:15,16:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
venerdì 19 gennaio 2024,09:00,11:00,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
venerdì 19 gennaio 2024,11:15,13:15,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
venerdì 19 gennaio 2024,14:15,16:15,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
lunedì 22 gennaio 2024,09:00,11:00,02:00,PIRON LUCA,UF 5 - INGLESE,
lunedì 22 gennaio 2024,11:15,13:15,02:00,GIUNTA ANTONIO,UF 2 - BASI DI DATI,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
lunedì 22 gennaio 2024,14:15,16:15,02:00,GIUNTA ANTONIO,UF 2 - BASI DI DATI,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
martedì 23 gennaio 2024,09:00,11:00,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
martedì 23 gennaio 2024,11:15,13:15,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
martedì 23 gennaio 2024,14:15,16:15,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
mercoledì 24 gennaio 2024,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 3 - STATICAL LEARNING,3.1 Introduzione alla statistica
mercoledì 24 gennaio 2024,11:15,13:15,02:00,ZIGLIOTTO WALTER,UF 3 - STATICAL LEARNING,3.1 Introduzione alla statistica
mercoledì 24 gennaio 2024,14:15,16:15,02:00,ZIGLIOTTO WALTER,UF 3 - STATICAL LEARNING,3.1 Introduzione alla statistica
giovedì 25 gennaio 2024,09:00,11:00,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
giovedì 25 gennaio 2024,11:15,13:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
giovedì 25 gennaio 2024,14:15,16:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
venerdì 26 gennaio 2024,09:00,11:00,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
venerdì 26 gennaio 2024,11:15,13:15,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
venerdì 26 gennaio 2024,14:15,16:15,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
mercoledì 31 gennaio 2024,09:00,11:00,02:00,ZIGLIOTTO WALTER,UF 3 - STATICAL LEARNING,3.1 Introduzione alla statistica
mercoledì 31 gennaio 2024,11:15,13:15,02:00,ZIGLIOTTO WALTER,UF 3 - STATICAL LEARNING,3.1 Introduzione alla statistica
mercoledì 31 gennaio 2024,14:15,16:15,02:00,RUMOR MASSIMO,UF 8 - ANALISI ESPLORATIVA DEI DATI,8.5 - GIS
mercoledì 31 gennaio 2024,16:15,18:15,02:00,SAVINO SANDRO,UF 8 - ANALISI ESPLORATIVA DEI DATI,8.5 - GIS
giovedì 1 febbraio 2024,09:00,11:00,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
giovedì 1 febbraio 2024,11:15,13:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
giovedì 1 febbraio 2024,14:15,16:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
venerdì 2 febbraio 2024,09:00,11:00,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
venerdì 2 febbraio 2024,11:15,13:15,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
venerdì 2 febbraio 2024,14:15,16:15,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
lunedì 5 febbraio 2024,09:00,11:00,02:00,PIRON LUCA,UF 5 - INGLESE,
lunedì 5 febbraio 2024,11:15,13:15,02:00,PIRON LUCA,UF 5 - INGLESE,
lunedì 5 febbraio 2024,14:15,16:15,02:00,SAVINO SANDRO,UF 8 - ANALISI ESPLORATIVA DEI DATI,8.5 - GIS
lunedì 5 febbraio 2024,16:15,18:15,02:00,SAVINO SANDRO,UF 8 - ANALISI ESPLORATIVA DEI DATI,8.5 - GIS
martedì 6 febbraio 2024,09:00,11:00,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
martedì 6 febbraio 2024,11:15,13:15,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
martedì 6 febbraio 2024,14:15,16:15,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
mercoledì 7 febbraio 2024,09:00,11:00,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
mercoledì 7 febbraio 2024,11:15,13:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
mercoledì 7 febbraio 2024,14:15,16:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
giovedì 8 febbraio 2024,09:00,11:00,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
giovedì 8 febbraio 2024,11:15,13:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
giovedì 8 febbraio 2024,14:15,16:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
venerdì 9 febbraio 2024,09:00,11:00,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
venerdì 9 febbraio 2024,11:15,13:15,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
venerdì 9 febbraio 2024,14:15,16:15,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
lunedì 12 febbraio 2024,09:00,11:00,02:00,RUMOR MASSIMO,UF 8 - ANALISI ESPLORATIVA DEI DATI,8.5 - GIS
lunedì 12 febbraio 2024,11:15,13:15,02:00,SAVINO SANDRO,UF 8 - ANALISI ESPLORATIVA DEI DATI,8.5 - GIS
mercoledì 14 febbraio 2024,09:00,11:00,02:00,RUMOR MASSIMO / SANDRO SAVINO,UF 8 - ANALISI ESPLORATIVA DEI DATI,8.5 - GIS
mercoledì 14 febbraio 2024,11:15,13:15,02:00,RUMOR MASSIMO / SANDRO SAVINO,UF 8 - ANALISI ESPLORATIVA DEI DATI,8.5 - GIS
giovedì 15 febbraio 2024,09:00,11:00,2:00:00,BONATO ALBERTO,UF 8 - ANALISI ESPLORATIVA DEI DATI,8.2 TRATTAMENTO DEI DATI PERSONALI
giovedì 15 febbraio 2024,11:15,13:15,2:00:00,BONATO ALBERTO,UF 8 - ANALISI ESPLORATIVA DEI DATI,8.2 TRATTAMENTO DEI DATI PERSONALI
giovedì 15 febbraio 2024,14:15,16:15,,UMANA,INCONTRO APPRENDISTATO,
venerdì 16 febbraio 2024,09:00,11:00,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
venerdì 16 febbraio 2024,11:15,13:15,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
venerdì 16 febbraio 2024,14:15,16:15,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
lunedì 19 febbraio 2024,09:00,11:00,02:00,PIRON LUCA,UF 5 - INGLESE,
lunedì 19 febbraio 2024,11:15,13:15,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
lunedì 19 febbraio 2024,14:15,16:15,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
martedì 20 febbraio 2024,09:00,11:00,2:00:00,BONATO ALBERTO,UF 8 - ANALISI ESPLORATIVA DEI DATI,8.2 Trattamento dei dati personali
martedì 20 febbraio 2024,11:15,13:15,2:00:00,BONATO ALBERTO,UF 8 - ANALISI ESPLORATIVA DEI DATI,8.2 Trattamento dei dati personali
martedì 20 febbraio 2024,14:15,16:15,,RECUPERO GIUNTA,RECUPERO GIUNTA,2.1 Progettazione di un database relazionale e i fondamenti del datawarehousing
mercoledì 21 febbraio 2024,09:00,11:00,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
mercoledì 21 febbraio 2024,11:15,13:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
mercoledì 21 febbraio 2024,14:15,16:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
giovedì 22 febbraio 2024,09:00,11:00,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
giovedì 22 febbraio 2024,11:15,13:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
giovedì 22 febbraio 2024,14:15,16:15,02:00,CHINELLATO ERIS,UF 1 - ELEMENTI DI PROGRAMMAZIONE,1.2 Programmazione con Python
venerdì 23 febbraio 2024,09:00,11:00,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
venerdì 23 febbraio 2024,11:15,13:15,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
venerdì 23 febbraio 2024,14:15,16:15,02:00,GIURI SIMONE,UF 7 - BASI DI DATA SCIENCE E SUPERVISED LEARNING,7.1 Elementi di data science/ 7.2 Data science con Python
lunedì 26 febbraio 2024,09:00,11:00,02:00,PIRON LUCA,UF 5 - INGLESE,
lunedì 26 febbraio 2024,11:15,13:15,02:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
lunedì 26 febbraio 2024,14:15,18:15,04:00,BATTILANA MATTEO,UF 3 - STATICAL LEARNING,3.2 Probabilità e inferenza/3.3 Modelli di regressione
martedì 27 febbraio 2024,09:00,11:00,2:00:00,BONATO ALBERTO,UF 8 - ANALISI ESPLORATIVA DEI DATI,8.2 Trattamento dei dati personali
